title,genre,synopsis
A través de mi ventana,"Comedy, Drama, Romance","Raquel's longtime crush on her next-door neighbor turns into something more when he starts developing feelings for her, despite his family's objections."
My Girl,"Comedy, Drama, Family","A young girl, on the threshold of her teen years, finds her life turning upside down, when she is accompanied by an unlikely friend."
Love and Leashes,"Comedy, Romance","Love never hurt so good for two co-workers who enter a contractual relationship as partners in consensual play, pleasure and pain."
Tall Girl,"Comedy, Drama, Family","Jodi, the tallest girl in her high school, has always felt uncomfortable in her own skin. But after years of slouching, being made fun of, and avoiding attention at all costs, Jodi finally decides to find the confidence to stand tall."
Once Upon a Time in... Hollywood,"Comedy, Drama",A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.
Red Rocket,"Comedy, Drama","Mikey Saber is a washed-up porn star who returns to his small Texas hometown, not that anyone really wants him back."
The Hating Game,"Comedy, Romance","Resolving to achieve professional success without compromising her ethics, Lucy embarks on a ruthless game of one-upmanship against cold and efficient nemesis Joshua, a rivalry that is complicated by her growing attraction to him."
Valentine's Day,"Comedy, Romance",Intertwining couples and singles in Los Angeles break-up and make-up based on the pressures and expectations of Valentine's Day.
Studio 666,"Comedy, Horror, Music",Legendary rock band Foo Fighters move into an Encino mansion steeped in grisly rock and roll history to record their much anticipated 10th album.
Knives Out,"Comedy, Crime, Drama","A detective investigates the death of a patriarch of an eccentric, combative family."
The Wolf of Wall Street,"Biography, Comedy, Crime","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
St. Vincent,"Comedy, Drama","A young boy whose parents have just divorced finds an unlikely friend and mentor in the misanthropic, bawdy, hedonistic war veteran who lives next door."
Gisaengchung,"Comedy, Drama, Thriller",Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
King Knight,"Comedy, Horror","Thorn and Willow appear to have it all as the revered high priest and priestess of a coven of new age witches. But a secret from Thorn's past throws their lives into turmoil and sends them on a trippy, hilarious journey."
Can You Keep a Secret?,"Comedy, Romance","Thinking they're about to crash, Emma spills her secrets to a stranger on a plane. At least, she thought he was a stranger...Until she later meets Jack, her company's young CEO, who now knows every humiliating detail about her. Based on the blockbuster NYT bestseller."
Hustle,"Comedy, Sport",A washed-up basketball scout discovers a phenomenal street ball player while in Spain and sees the prospect as his opportunity to get back into the NBA.
Hitman's Wife's Bodyguard,"Action, Comedy, Crime","The bodyguard, Michael Bryce, continues his friendship with assassin, Darius Kincaid, as they try to save Darius' wife Sonia."
Eight for Silver,"Fantasy, Horror, Mystery","In rural 19th-century France, a mysterious, possibly supernatural menace threatens a small village. John McBride, a pathologist, comes to town to investigate the danger - and exorcise some of his own demons in the process."
The Lighthouse,"Drama, Fantasy, Horror",Two lighthouse keepers try to maintain their sanity while living on a remote and mysterious New England island in the 1890s.
The Lord of the Rings: The Return of the King,"Action, Adventure, Drama",Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
